YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKDAY,20,TRAIN,EW11,16636,20881
2026-04,WEEKDAY,23,TRAIN,CC28,285,1787
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,BP6/DT1,16325,18709
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,SE5,928,313
2026-04,WEEKDAY,11,TRAIN,PE3,6674,4373
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,DT7,648,1478
2026-04,WEEKDAY,12,TRAIN,NS11,30065,22488
2026-04,WEEKDAY,6,TRAIN,NS9/TE2,92620,46250
2026-04,WEEKDAY,13,TRAIN,TE1,6487,5591
2026-04,WEEKDAY,22,TRAIN,EW18,7311,13791
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,SW6,780,1813
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,NS28,1252,2954
2026-04,WEEKDAY,19,TRAIN,NS4/BP1,41401,96894
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,TE28,2328,1716
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,DT5,9091,9375
2026-04,WEEKENDS/HOLIDAY,20,TRAIN,TE19,1714,1309
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,CC12,3559,3720
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,EW20,5155,5248
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,PW4,1920,1182
2026-04,WEEKDAY,10,TRAIN,PW5,2279,1180
2026-04,WEEKDAY,21,TRAIN,NE9,13167,26032
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,NE11,8335,7885
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,TE19,2081,2014
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,NE8,21682,23307
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,NS9/TE2,25628,34280
2026-04,WEEKENDS/HOLIDAY,5,TRAIN,EW33,1299,135
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,TE27,2435,2862
2026-04,WEEKDAY,22,TRAIN,EW30,1332,760
2026-04,WEEKDAY,6,TRAIN,NE17/PTC,60364,17876
2026-04,WEEKDAY,14,TRAIN,EW15,30185,28199
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,DT13,7448,6407
2026-04,WEEKDAY,17,TRAIN,TE14/NS22,115750,82803
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,EW10,8011,8876
2026-04,WEEKENDS/HOLIDAY,23,TRAIN,DT22,3682,2389
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,SE5,1161,1411
2026-04,WEEKDAY,0,TRAIN,TE19,159,81
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,SW2,906,1150
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,EW8/CC9,37980,29335
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,BP11,2325,761
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,TE22,29,47
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,DT24,2380,1310
2026-04,WEEKDAY,15,TRAIN,EW16/NE3/TE17,41631,25766
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,NS9/TE2,1064,3685
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,CC23,2690,2448
2026-04,WEEKENDS/HOLIDAY,6,TRAIN,CC24,156,2649
2026-04,WEEKDAY,21,TRAIN,DT29,3188,11956
2026-04,WEEKDAY,15,TRAIN,NE14,24516,27694
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,29284,34063
2026-04,WEEKENDS/HOLIDAY,6,TRAIN,CC4/DT15,520,2255
2026-04,WEEKENDS/HOLIDAY,10,TRAIN,BP12,1691,887
2026-04,WEEKDAY,12,TRAIN,NS21/DT11,57067,48457
2026-04,WEEKDAY,13,TRAIN,EW7,12641,13431
2026-04,WEEKDAY,15,TRAIN,TE28,3722,5105
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,EW1,9671,6740
2026-04,WEEKDAY,20,TRAIN,EW30,6942,1620
2026-04,WEEKDAY,11,TRAIN,DT3,6172,2415
2026-04,WEEKDAY,22,TRAIN,TE12,2635,1194
2026-04,WEEKDAY,23,TRAIN,DT13,4557,3399
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,BP3,2325,1124
2026-04,WEEKENDS/HOLIDAY,20,TRAIN,TE8,4615,3521
2026-04,WEEKDAY,8,TRAIN,DT3,28749,5302
2026-04,WEEKDAY,11,TRAIN,CC19/DT9,6203,6461
2026-04,WEEKDAY,12,TRAIN,TE18,12125,15897
2026-04,WEEKENDS/HOLIDAY,6,TRAIN,CC2,60,187
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,EW15,3640,11585
2026-04,WEEKDAY,13,TRAIN,DT34,4431,6113
2026-04,WEEKDAY,17,TRAIN,EW20,32324,20729
2026-04,WEEKDAY,16,TRAIN,NE9,25606,22522
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,EW24/NS1,27960,44966
2026-04,WEEKDAY,20,TRAIN,CC23,18904,2442
2026-04,WEEKDAY,12,TRAIN,CC20,4842,4144
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,CC8,1498,1228
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,TE18,7325,5412
2026-04,WEEKENDS/HOLIDAY,6,TRAIN,DT20,284,991
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,DT21,5230,4082
2026-04,WEEKDAY,12,TRAIN,NS12,18156,11149
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,PW5,1356,1394
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,BP13,1032,682
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,NS18,5739,2353
2026-04,WEEKDAY,18,TRAIN,NS24/NE6/CC1,90225,76218
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,NS19,222,1181
2026-04,WEEKDAY,10,TRAIN,DT34,4807,4064
2026-04,WEEKDAY,16,TRAIN,TE26,13613,17177
2026-04,WEEKDAY,22,TRAIN,NE11,7284,10439
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,NE12/CC13,33510,32930
2026-04,WEEKDAY,10,TRAIN,CC26,2731,4026
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,CC21,4530,2187
2026-04,WEEKDAY,6,TRAIN,EW20,16577,13379
2026-04,WEEKDAY,22,TRAIN,CG1/DT35,11120,2080
2026-04,WEEKDAY,19,TRAIN,TE24,3916,7523
2026-04,WEEKDAY,23,TRAIN,SW7,121,1237
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,SE2,2284,3224
2026-04,WEEKDAY,15,TRAIN,NS11,26538,38225
