YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKDAY,9.0,BUS,18119,131,144
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,78221,103,498
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,23131,0,27
2026-04,WEEKENDS/HOLIDAY,17.0,BUS,98029,107,74
2026-04,WEEKDAY,20.0,BUS,46931,1936,84
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,14389,185,679
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,60199,176,318
2026-04,WEEKENDS/HOLIDAY,15.0,BUS,28261,49,62
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,60061,39,68
2026-04,WEEKDAY,15.0,BUS,24619,62,1
2026-04,WEEKDAY,17.0,BUS,57059,539,58
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,47511,281,137
2026-04,WEEKDAY,13.0,BUS,84351,869,3072
2026-04,WEEKDAY,22.0,BUS,83281,4,47
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,46309,4,1
2026-04,WEEKENDS/HOLIDAY,7.0,BUS,26311,101,5
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,84169,7,56
2026-04,WEEKDAY,21.0,BUS,84201,2458,2314
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,75531,306,18
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,95071,6,28
2026-04,WEEKDAY,8.0,BUS,9131,1243,1720
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,27311,166,179
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,1341,55,57
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,22161,66,2
2026-04,WEEKDAY,13.0,BUS,24709,212,607
2026-04,WEEKDAY,23.0,BUS,71011,56,19
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,67789,46,189
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,60031,529,804
2026-04,WEEKDAY,7.0,BUS,95079,9,3
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,27531,793,475
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,54231,945,503
2026-04,WEEKENDS/HOLIDAY,8.0,BUS,52301,256,33
2026-04,WEEKDAY,9.0,BUS,46331,1666,143
2026-04,WEEKDAY,5.0,BUS,55119,491,6
2026-04,WEEKDAY,8.0,BUS,46859,993,483
2026-04,WEEKENDS/HOLIDAY,17.0,BUS,28031,613,266
2026-04,WEEKENDS/HOLIDAY,6.0,BUS,42259,89,163
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,54279,10,28
2026-04,WEEKDAY,9.0,BUS,98219,42,186
2026-04,WEEKDAY,11.0,BUS,63389,1033,824
2026-04,WEEKDAY,6.0,BUS,11221,340,59
2026-04,WEEKENDS/HOLIDAY,17.0,BUS,8121,4254,3249
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,28669,77,11
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,29059,2,1
2026-04,WEEKENDS/HOLIDAY,15.0,BUS,54659,436,123
2026-04,WEEKDAY,13.0,BUS,7241,126,166
2026-04,WEEKDAY,12.0,BUS,58321,237,225
2026-04,WEEKDAY,23.0,BUS,27321,95,780
2026-04,WEEKDAY,18.0,BUS,53239,15417,3907
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,30039,117,3418
2026-04,WEEKDAY,20.0,BUS,61049,379,512
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,76229,13,45
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,77189,15,0
2026-04,WEEKDAY,16.0,BUS,40501,444,50
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,67779,32,116
2026-04,WEEKDAY,6.0,BUS,14291,1914,587
2026-04,WEEKDAY,23.0,BUS,17311,15,51
2026-04,WEEKENDS/HOLIDAY,18.0,BUS,23509,5,0
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,28639,1053,225
2026-04,WEEKDAY,12.0,BUS,19059,330,682
2026-04,WEEKDAY,17.0,BUS,82009,2837,6045
2026-04,WEEKDAY,18.0,BUS,17361,172,674
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,66439,146,165
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,9159,606,331
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,64159,46,33
2026-04,WEEKDAY,7.0,BUS,10481,503,182
2026-04,WEEKDAY,15.0,BUS,10399,429,730
2026-04,WEEKDAY,10.0,BUS,67451,154,151
2026-04,WEEKENDS/HOLIDAY,15.0,BUS,71011,129,54
2026-04,WEEKENDS/HOLIDAY,15.0,BUS,95069,811,7
2026-04,WEEKDAY,5.0,BUS,42099,255,628
2026-04,WEEKENDS/HOLIDAY,1.0,BUS,51021,1,1
2026-04,WEEKDAY,17.0,BUS,77241,1336,873
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,70289,658,780
2026-04,WEEKDAY,19.0,BUS,65609,120,234
2026-04,WEEKDAY,23.0,BUS,46329,1,69
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,67179,329,145
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,84319,0,49
2026-04,WEEKDAY,8.0,BUS,97169,13,6
2026-04,WEEKDAY,14.0,BUS,59701,247,100
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,24391,6,0
2026-04,WEEKDAY,19.0,BUS,3222,2016,787
2026-04,WEEKENDS/HOLIDAY,8.0,BUS,56209,164,304
2026-04,WEEKDAY,15.0,BUS,58399,39,141
2026-04,WEEKENDS/HOLIDAY,8.0,BUS,64229,40,22
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,10271,56,174
2026-04,WEEKDAY,8.0,BUS,98069,389,35
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,65289,757,325
2026-04,WEEKENDS/HOLIDAY,18.0,BUS,11329,57,128
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,11309,56,17
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,10249,2,2
2026-04,WEEKDAY,22.0,BUS,11511,726,927
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,68059,62,29
2026-04,WEEKDAY,14.0,BUS,54309,253,170
2026-04,WEEKDAY,9.0,BUS,55121,238,337
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,66019,0,5
2026-04,WEEKDAY,20.0,BUS,10381,251,503
2026-04,WEEKENDS/HOLIDAY,7.0,BUS,21011,442,693
2026-04,WEEKDAY,11.0,BUS,1019,615,1796
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,59073,1999,4350
2026-04,WEEKDAY,5.0,BUS,1619,0,1
2026-04,WEEKENDS/HOLIDAY,6.0,BUS,28041,6,45
2026-04,WEEKENDS/HOLIDAY,19.0,BUS,17049,783,1735
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,83381,2,6
2026-04,WEEKDAY,0.0,BUS,11269,32,11
2026-04,WEEKDAY,14.0,BUS,43329,1067,798
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,58389,147,347
2026-04,WEEKDAY,11.0,BUS,57081,226,162
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,27439,759,461
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,66309,376,372
2026-04,WEEKDAY,9.0,BUS,28541,1198,639
2026-04,WEEKDAY,21.0,BUS,23041,16,657
2026-04,WEEKDAY,8.0,BUS,53111,3,58
2026-04,WEEKDAY,10.0,BUS,44229,3603,1645
2026-04,WEEKENDS/HOLIDAY,6.0,BUS,76051,71,414
2026-04,WEEKDAY,12.0,BUS,96269,235,295
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,97081,24,9
